comment,label
"This is a great app!",0
"You are stupid!",1
"Hello, how are you?",0
"I hate you!",1
"Have a nice day!",0
"This is amazing!",0
"You idiot!",1
"Thank you for your help!",0
"You're the worst!",1
"Let's have lunch together.",0
"Shut your mouth!",1
"I appreciate your kindness.",0
"You're a loser!",1
"What a lovely surprise!",0
"Go to hell!",1
"I hope you’re doing well.",0
"No one cares about you!",1
"Such a thoughtful gift!",0
"You’re so dumb!",1
"Looking forward to seeing you.",0
"You disgust me!",1
"Have a peaceful day!",0
"You're so annoying!",1
"That was a kind gesture.",0
"Just shut up already!",1
"You’re always so supportive.",0
"You are garbage!",1
"I’m proud of you!",0
"You talk nonsense!",1
"It’s a beautiful day!",0
"I can’t stand your face!",1
"You make me smile.",0
"Nobody likes you!",1
"I admire your work.",0
"You're so fake!",1
"Thank you for understanding.",0
"You're a complete moron!",1
"You're a true friend.",0
"You are so full of crap!",1
"That was a great idea!",0
"I hope you fail!",1
"You're always helpful.",0
"Why don’t you shut up?",1
"It was nice talking to you.",0
"You're such a pain!",1
"You're beautiful",1